DateYear;Semaine;ConfigStarted;ConfigCompleted;UniqueVisitor;UtileVisitor;Nombre_inscription;TTC_Gazole;Budget_displayBRAND;Budget_displayROI;PRESSE_InvestissementsEnEuros_QUOT_AUTO;PRESSE_InvestissementsEnEuros_NON_QUOT_AUTO;PRESSE_InvestissementsEnEuros_QUOT_NON_AUTO;PRESSE_InvestissementsEnEuros_NON_QUOT_NON_AUTO;Presse Totale Inv;Presse Totale quo Inv;Presse Totale nonquo Inv;RADIO_InvestissementsEnEuros;MOBILE_Volume_Achete;MOBILE_Net_Budget_LC;Investissement_Affichage;INTERNET_DISPLAY_InvestissementsEnEuros_BMW;PRESS INV BMW;RADIO_InvBMW;TV GRP BMW;TV INV BMW;Inv_aff_BMW;display_invMERCEDES;Press inv Mercedes;RADIO_InvMERCEDES;Investissement_Affichage_MERCEDES;TV INV MERCEDES;TV GRP MERCEDES;IsMondialAuto2014;IsOPO;IsPrimeAlaCasse;IsJourdelan;IsPentecôte;IsAsscention;IsPâcques;IsF?tedutravail;Is08Mais;Is14Juillet;Is15ao?t;IspremierNovembre;Is11Novembre;IsNoël
2014;1;13083;2835;16241;11530;20;1.3389;106.123494939715;63.1324778508989;0;0;0;0;0;0;0;2790;0;0;204829;30135;5500;0;0;0;0;24204;9127;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
2014;1;19534;4700;23328;17169;44;1.3389;251.01192151502;149.326071331902;0;0;0;0;0;0;0;2380;0;0;204829;30135;6800;0;0;0;0;24204;6932;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2014;1;19298;4517;22760;16781;37;1.3389;9.33193358179168;5.55153305583461;0;166000;0;0;166 000;0;166000;2760;0;0;204829;30135;0;0;0;0;0;24204;113;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2014;1;19376;4885;22492;16523;34;1.3389;1.2245434270682;0.728476392817289;0;73400;0;0;73 400;0;73400;3000;0;0;204829;30135;0;0;0;0;0;24204;120;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2014;1;23702;5439;28953;20553;46;1.3303;52.5598204388964;31.2676443759304;0;0;0;0;0;0;0;1970;0;0;86860;30135;0;0;0;0;0;24204;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2014;2;18843;4448;24537;17942;40;1.3303;0;0;131 000;0;0;0;131 000;131000;0;1480;0;0;86860;30135;0;0;0;0;0;24204;113;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2014;2;17648;4340;25164;18612;34;1.3303;0;0;0;0;0;0;0;0;0;1760;0;0;86860;30135;0;0;0;0;0;24204;113;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2014;2;17113;4055;24320;17792;30;1.3303;0;0;158 000;0;0;0;158 000;158000;0;2910;0;0;86860;30135;2424;0;0;0;0;24204;8677;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2014;2;16351;3803;23328;16974;46;1.3303;0;0;0;0;0;0;0;0;0;2480;0;0;86860;30135;34550;0;0;0;0;24204;113;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2014;2;16338;3810;21236;15536;57;1.3303;0;0;0;53000;0;0;53 000;0;53000;3110;0;0;86860;30135;0;0;0;0;0;24204;7361;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2014;2;19332;4645;24750;18513;28;1.3303;0;0;279 800;0;0;0;279 800;279800;0;2580;0;0;86860;30135;2849;0;0;0;0;24204;1153;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
