"","annonceur","Date","DateYear","semaine","TTC_Gazole","Impressions_BRANDING","Impressions_ROI","Clicks_BRANDING","Clicks_ROI","Budget_Depense_NON_Cappe_BRANDING","Budget_Depense_NON_Cappe_ROI","PRESSE_InvestissementsEnEuros_QUOT","PRESSE_InvestissementsEnEuros_NON_QUOT","PRESSE_InvestissementsEnEuros","RADIO_InvestissementsEnEuros","TV_InvestissementsEnEuros","TV_GRP","MOBILE_Volume_Achete","MOBILE_Net_Budget_LC","Investissement_Affichage","PRESSE_InvestissementsEnEuros_BMW","RADIO_InvestissementsEnEuros_BMW","TV_InvestissementsEnEuros_BMW","TV_GRP_BMW","Investissement_Affichage_BMW","PRESSE_InvestissementsEnEuros_MERCEDES","RADIO_InvestissementsEnEuros_MERCEDES","TV_InvestissementsEnEuros_MERCEDES","TV_GRP_MERCEDES","Investissement_Affichage_MERCEDES","IsMondialAuto2014","IsOPO","IsPrimeAlaCasse","IsPentecote","Is08Mais","IsPacques","Is11Novembre","Is15aout","IsAsscention","IspremierNovembre","IsNoel","Is14Juillet","IsJourdelan","IsFetedutravail","ConfigStarted","ConfigCompleted","UniqueVisitor","UtileVisitor","Nombre_inscription_S","Nombre_inscription_Non_S","Nombre_inscription"
"1","AUDI","2014-6",2014,6,1.3266,2832956.99999999,3379668.00000001,35356.32,19459.68,15414.3058768795,9169.91402244983,377339,33936,411275,85005,0,0,0,0,131558,181442,0,303318,1652,446054,724410,686282,0,0,2431240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128185,29904,195945,144975,402,109,511
"2","AUDI","2014-7",2014,7,1.3294,3136338.816,3741597.18400001,61835.5050000001,34033.495,7324.55639166248,4357.35172901133,301878,53730,355608,32212,0,0,0,0,570388,37369,0,250566,1477,5642,1203388,713392,0,0,791994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125430,28970,195405,148946,338,94,432
"3","AUDI","2014-8",2014,8,1.3308,13740568.2,16392256.8,155560.455,85618.5449999999,31602.3740989379,18800.1364256839,60035,33000,93035,50347,0,0,0,0,349538,106486,0,127574,702,0,651441,644901,0,0,28553,0,0,0,0,0,0,0,0,0,0,0,0,0,0,129543,29767,267331,139275,270,84,354
"4","AUDI","2014-9",2014,9,1.3317,8357350.488,9970172.512,10083.285,5549.715,16380.4159481307,9744.64935989278,10834,47450,58284,46383,0,0,0,0,88459,277147,0,0,0,19229,607000,0,0,0,1603,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123493,28493,178775,119443,219,113,332
"5","AUDI","2014-10",2014,10,1.3265,7544997.88799998,9001050.11200002,8746.845,4814.155,17312.3986603924,10299.0824566609,16269,67850,84119,65330,0,0,0,0,39032,77521,0,0,0,19026,286861,0,28400,221,199850,0,0,0,1,0,0,0,0,0,0,0,0,0,0,115494,26609,171215,114939,265,108,373
"6","AUDI","2014-11",2014,11,1.3129,6272553.6,7483046.4,5863.04999999999,3226.95,13469.0159747986,8012.66819553413,195151,16188,211339,78820,0,0,0,0,98007,377142,43530,0,0,82656,1622360,251439,960455,6239,2423792,0,1,0,0,0,0,0,0,1,0,0,0,0,0,128898,28956,184675,126371,250,84,334
"7","AUDI","2014-12",2014,12,1.3004,5839695.14399999,6966653.85600001,4648.515,2558.485,11402.0446164546,6783.03451664683,55143,36088,91231,67290,0,0,0,0,887152,719845,35630,0,0,1261239,1527169,45665,859459,5316,749756,0,1,0,0,0,0,0,0,0,0,0,0,0,0,133966,31103,181236,122137,299,84,383
"8","AUDI","2014-13",2014,13,1.3047,6341825.01599998,7565685.98400002,5621.175,3093.825,12937.6086762314,7696.53594295743,366843,29420,396263,44520,0,0,0,0,413189,539289,0,0,0,463463,557793,46937,857800,6149,76223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126884,29138,174309,117502,310,130,440
"9","AUDI","2014-14",2014,14,1.3072,4572174.744,5454524.25599999,4583.37,2522.63,10227.4495352754,6084.27221157533,130122,30070,160192,56250,0,0,0,0,61894,333295,0,0,0,18739,1599854,34086,770023,5782,5439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,112652,25145,158473,107877,376,123,499
"10","AUDI","2014-15",2014,15,1.3062,5858343.72,6988901.28,5281.90500000001,2907.095,20729.8356460678,12332.1031833864,213854,39500,253354,43340,0,0,0,0,18774,208426,0,0,0,11403,960130,31425,716942,4553,11172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107612,24431,156079,106563,515,112,627
"11","AUDI","2014-16",2014,16,1.3043,12671221.296,15116544.704,26643.015,14663.985,24500.8865078114,14575.4875078368,2344735,108718,2453453,19230,0,0,0,0,18669,87747,0,0,0,1806,591619,25389,885753,5892,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,116488,25698,184287,118084,527,94,621
"12","AUDI","2014-17",2014,17,1.3125,15375128.928,18342259.0720001,41092.95,22617.05,24067.1016647338,14317.4304959262,2357238,80700,2437938,18330,0,0,0,0,15260,188504,0,0,0,0,105162,0,144769,782,14112,0,0,0,0,0,1,0,0,0,0,0,0,0,0,117114,25386,190230,114898,481,100,581
"13","AUDI","2014-18",2014,18,1.3118,14970751.32,17859843.68,29385.555,16173.445,25123.0017090059,14945.5815589461,629895,90854,720749,16420,0,0,0,0,5376,191961,0,0,0,14217,106296,0,0,0,11984,0,0,0,0,0,0,0,0,0,0,0,0,0,1,111913,25041,170665,110248,556,73,629
"14","AUDI","2014-19",2014,19,1.3016,7251246.792,8650610.20800003,101415.285,55817.7150000001,17225.7598532146,10247.5413480846,459066,11153,470219,19140,0,0,0,0,13139,62817,0,0,0,11123,45356,0,0,0,15736,0,0,0,0,1,0,0,0,0,0,0,0,0,0,109258,24644,175340,123740,381,58,439
