"","annonceur","date","DateYear","DateMonth","DateDay","NomJour","EstFerie","SpecificationJour","TTC_Gazole","Impressions_BRANDING","Impressions_ROI","Clicks_BRANDING","Clicks_ROI","Budget_Depense_NON_Cappe_BRANDING","Budget_Depense_NON_Cappe_ROI","INTERNET_DISPLAY_InvestissementsEnEuros","PRESSE_InvestissementsEnEuros_QUOT_AUTO","PRESSE_InvestissementsEnEuros_NON_QUOT_AUTO","PRESSE_InvestissementsEnEuros_QUOT_NON_AUTO","PRESSE_InvestissementsEnEuros_NON_QUOT_NON_AUTO","RADIO_InvestissementsEnEuros","TV_NAT_InvestissementsEnEuros","TV_TNT_InvestissementsEnEuros","TV_InvestissementsEnEuros","TV_NAT_GRP","TV_TNT_GRP","TV_GRP","MOBILE_Volume_Achete","MOBILE_Net_Budget_LC","Investissement_Affichage","INTERNET_DISPLAY_InvestissementsEnEuros_BMW","PRESSE_InvestissementsEnEuros_QUOT_AUTO_BMW","PRESSE_InvestissementsEnEuros_NON_QUOT_AUTO_BMW","PRESSE_InvestissementsEnEuros_QUOT_NON_AUTO_BMW","PRESSE_InvestissementsEnEuros_NON_QUOT_NON_AUTO_BMW","RADIO_InvestissementsEnEuros_BMW","TV_NAT_InvestissementsEnEuros_BMW","TV_NAT_GRP_BMW","TV_TNT_InvestissementsEnEuros_BMW","TV_TNT_GRP_BMW","Investissement_Affichage_BMW","INTERNET_DISPLAY_InvestissementsEnEuros_MERCEDES","PRESSE_InvestissementsEnEuros_QUOT_AUTO_MERCEDES","PRESSE_InvestissementsEnEuros_NON_QUOT_AUTO_MERCEDES","PRESSE_InvestissementsEnEuros_QUOT_NON_AUTO_MERCEDES","PRESSE_InvestissementsEnEuros_NON_QUOT_NON_AUTO_MERCEDES","RADIO_InvestissementsEnEuros_MERCEDES","TV_NAT_InvestissementsEnEuros_MERCEDES","TV_NAT_GRP_MERCEDES","TV_TNT_InvestissementsEnEuros_MERCEDES","TV_TNT_GRP_MERCEDES","Investissement_Affichage_MERCEDES","ConfigStarted","ConfigCompleted","UniqueVisitor","UtileVisitor","Nombre_inscription_S","Nombre_inscription_Non_S","Nombre_inscription","JourNormalise","IsMondialAuto2014","IsOPO","IsPrimeAlaCasse","IsJourdelan","IsPentecôte","IsAsscention","IsPâcques","IsFêtedutravail","Is08Mais","Is14Juillet","Is15août","IspremierNovembre","Is11Novembre","IsNoël"
"1","AUDI",2014-01-01,"2014","1","1","Mercredi",1,"Jour de l'an",1.3389,34742.64,41447.36,110.94,61.06,106.123494939715,63.1324778508989,65200,0,0,0,0,2790,0,0,0,0,0,0,0,0,204829,30135,0,5500,0,0,0,0,0,0,0,0,24204,113,9014,0,0,0,0,0,0,0,0,13083,2835,16241,11530,12,8,20,0.00273972602739726,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"2","AUDI",2014-01-02,"2014","1","2","Jeudi",0,"Jour Ordinaire",1.3389,26459.4,31565.6,59.34,32.66,251.01192151502,149.326071331902,65200,0,0,0,0,2380,0,0,0,0,0,0,0,0,204829,30135,0,6800,0,0,0,0,0,0,0,0,24204,132,6800,0,0,0,0,0,0,0,0,19534,4700,23328,17169,24,20,44,0.00547945205479452,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3","AUDI",2014-01-03,"2014","1","3","Vendredi",0,"Jour Ordinaire",1.3389,3301.44,3938.56,23.22,12.78,9.33193358179168,5.55153305583461,65200,0,166000,0,0,2760,0,0,0,0,0,0,0,0,204829,30135,0,0,0,0,0,0,0,0,0,0,24204,113,0,0,0,0,0,0,0,0,0,19298,4517,22760,16781,25,12,37,0.00821917808219178,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4","AUDI",2014-01-04,"2014","1","4","Samedi",0,"Jour Ordinaire",1.3389,249.888,298.112,3.87,2.13,1.2245434270682,0.728476392817289,65200,0,73400,0,0,3000,0,0,0,0,0,0,0,0,204829,30135,0,0,0,0,0,0,0,0,0,0,24204,120,0,0,0,0,0,0,0,0,0,19376,4885,22492,16523,24,10,34,0.010958904109589,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5","AUDI",2014-01-05,"2014","1","5","Dimanche",1,"Jour Ordinaire",1.3303,13660.848,16297.152,38.7,21.3,52.5598204388964,31.2676443759304,65200,0,0,0,0,1970,0,0,0,0,0,0,0,0,86860,30135,0,0,0,0,0,0,0,0,0,0,24204,0,0,0,0,0,0,0,0,0,0,23702,5439,28953,20553,30,16,46,0.0136986301369863,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6","AUDI",2014-01-06,"2014","1","6","Lundi",0,"Jour Ordinaire",1.3303,0,0,0,0,0,0,65200,131000,0,0,0,1480,0,0,0,0,0,0,0,0,86860,30135,0,0,0,0,0,0,0,0,0,0,24204,113,0,0,0,0,0,0,0,0,0,18843,4448,24537,17942,33,7,40,0.0164383561643836,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7","AUDI",2014-01-07,"2014","1","7","Mardi",0,"Jour Ordinaire",1.3303,0,0,0,0,0,0,65200,0,0,0,0,1760,0,0,0,0,0,0,0,0,86860,30135,0,0,0,0,0,0,0,0,0,0,24204,113,0,0,0,0,0,0,0,0,0,17648,4340,25164,18612,23,11,34,0.0191780821917808,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8","AUDI",2014-01-08,"2014","1","8","Mercredi",0,"Jour Ordinaire",1.3303,0,0,0,0,0,0,65200,158000,0,0,0,2910,0,0,0,0,0,0,0,0,86860,30135,2424,0,0,0,0,0,0,0,0,0,24204,113,8564,0,0,0,0,0,0,0,0,17113,4055,24320,17792,23,7,30,0.0219178082191781,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9","AUDI",2014-01-09,"2014","1","9","Jeudi",0,"Jour Ordinaire",1.3303,0,0,0,0,0,0,65200,0,0,0,0,2480,0,0,0,0,0,0,0,0,86860,30135,0,34550,0,0,0,0,0,0,0,0,24204,113,0,0,0,0,0,0,0,0,0,16351,3803,23328,16974,33,13,46,0.0246575342465753,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10","AUDI",2014-01-10,"2014","1","10","Vendredi",0,"Jour Ordinaire",1.3303,0,0,0,0,0,0,65200,0,53000,0,0,3110,0,0,0,0,0,0,0,0,86860,30135,0,0,0,0,0,0,0,0,0,0,24204,7361,0,0,0,0,0,0,0,0,0,16338,3810,21236,15536,38,19,57,0.0273972602739726,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"11","AUDI",2014-01-11,"2014","1","11","Samedi",0,"Jour Ordinaire",1.3303,0,0,0,0,0,0,65200,279800,0,0,0,2580,0,0,0,0,0,0,0,0,86860,30135,2849,0,0,0,0,0,0,0,0,0,24204,120,1033,0,0,0,0,0,0,0,0,19332,4645,24750,18513,22,6,28,0.0301369863013699,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"12","AUDI",2014-01-12,"2014","1","12","Dimanche",1,"Jour Ordinaire",1.3228,0,0,0,0,0,0,65200,0,0,0,0,1350,0,0,0,0,0,0,0,0,1748,30135,0,0,0,0,0,0,0,0,0,1860,24204,2666,0,0,0,0,0,0,0,0,0,20430,4947,27946,20707,31,13,44,0.0328767123287671,0,0,0,0,0,0,0,0,0,0,0,0,0,0
