"","AdvertiserName","date","DateYear","DateMonth","DateDay","NomJour","EstFerie","SpecificationJour","TTC_Gazole","Impressions_BRANDING","Impressions_ROI","Clicks_BRANDING","Clicks_ROI","Budget_Depense_NON_Cappe_BRANDING","Budget_Depense_NON_Cappe_ROI","INTERNET_DISPLAY_InvestissementsEnEuros","PRESSE_InvestissementsEnEuros_QUOT_AUTO","PRESSE_InvestissementsEnEuros_NON_QUOT_AUTO","PRESSE_InvestissementsEnEuros_QUOT_NON_AUTO","PRESSE_InvestissementsEnEuros_NON_QUOT_NON_AUTO","RADIO_InvestissementsEnEuros","TV_NAT_InvestissementsEnEuros","TV_TNT_InvestissementsEnEuros","TV_InvestissementsEnEuros","TV_NAT_GRP","TV_TNT_GRP","TV_GRP","MOBILE_Volume_Achete","MOBILE_Net_Budget_LC","Investissement_Affichage","ConfigCompleted","ConfigStarted","UniqueVisitor","UtileVisitor","Nombre_inscription_S","Nombre_inscription_Non_S","Nombre_inscription"
"1","AUDI",2014-01-01,2014,1,1,"Mercredi",1,"Jour de l'an",1.3389,76070,120,165,7,169.13666490531,0.119570002377033,67375.4,0,0,0,0,2790,0,0,0,0,0,0,0,0,204830,2835,13083,16241,11530,12,8,20
"2","AUDI",2014-01-02,2014,1,2,"Jeudi",0,"Jour Ordinaire",1.3389,57894,131,79,13,140.189484959364,260.148770004749,67375.4,0,0,0,0,2380,0,0,0,0,0,0,0,0,204830,4700,19534,23328,17169,25,21,46
"3","AUDI",2014-01-03,2014,1,3,"Vendredi",0,"Jour Ordinaire",1.3389,7126,114,31,5,14.7628675377965,0.12080384773016,67375.4,0,166000,0,0,2760,0,0,0,0,0,0,0,0,204830,4517,19298,22760,16781,25,13,38
"4","AUDI",2014-01-04,2014,1,4,"Samedi",0,"Jour Ordinaire",1.3389,439,109,2,4,1.84198510152102,0.11111384755373,67375.4,0,73400,0,0,3000,0,0,0,0,0,0,0,0,204830,4885,19376,22492,16523,28,10,38
"5","AUDI",2014-01-05,2014,1,5,"Dimanche",1,"Jour Ordinaire",1.3303,348,29610,7,53,2.57713529527187,81.2506846168041,67375.4,0,0,0,0,1970,0,0,0,0,0,0,0,0,86860.2857142857,5439,23702,28953,20553,32,16,48
"6","AUDI",2014-01-06,2014,1,6,"Lundi",0,"Jour Ordinaire",1.3303,0,0,0,0,0,0,67375.4,131000,0,0,0,1480,0,0,0,0,0,0,0,0,86860.2857142857,4448,18843,24537,17942,34,7,41
"7","AUDI",2014-01-07,2014,1,7,"Mardi",0,"Jour Ordinaire",1.3303,0,0,0,0,0,0,67375.4,0,0,0,0,1760,0,0,0,0,0,0,0,0,86860.2857142857,4340,17648,25164,18612,23,11,34
"8","AUDI",2014-01-08,2014,1,8,"Mercredi",0,"Jour Ordinaire",1.3303,0,0,0,0,0,0,67375.4,158000,0,0,0,2910,0,0,0,0,0,0,0,0,86860.2857142857,4055,17113,24320,17792,24,7,31
"9","AUDI",2014-01-09,2014,1,9,"Jeudi",0,"Jour Ordinaire",1.3303,0,0,0,0,0,0,67375.4,0,0,0,0,2480,0,0,0,0,0,0,0,0,86860.2857142857,3803,16351,23328,16974,34,13,47
"10","AUDI",2014-01-10,2014,1,10,"Vendredi",0,"Jour Ordinaire",1.3303,0,0,0,0,0,0,67375.4,0,53000,0,0,3110,0,0,0,0,0,0,0,0,86860.2857142857,3810,16338,21236,15536,39,19,58
"11","AUDI",2014-01-11,2014,1,11,"Samedi",0,"Jour Ordinaire",1.3303,0,0,0,0,0,0,67375.4,279800,0,0,0,2580,0,0,0,0,0,0,0,0,86860.2857142857,4645,19332,24750,18513,22,6,28
"12","AUDI",2014-01-12,2014,1,12,"Dimanche",1,"Jour Ordinaire",1.3228,0,0,0,0,0,0,67375.4,0,0,0,0,1350,0,0,0,0,0,0,0,0,1749,4947,20430,27946,20707,31,13,44
"13","AUDI",2014-01-13,2014,1,13,"Lundi",0,"Jour Ordinaire",1.3228,0,0,0,0,0,0,67375.4,64000,0,0,0,1950,0,0,0,0,0,0,0,0,1749,4114,17468,25636,19463,42,19,61
"14","AUDI",2014-01-14,2014,1,14,"Mardi",0,"Jour Ordinaire",1.3228,0,0,0,0,0,0,67375.4,158000,0,0,0,2100,0,0,0,0,0,0,0,0,1749,3875,15949,23698,17547,44,24,68
"15","AUDI",2014-01-15,2014,1,15,"Mercredi",0,"Jour Ordinaire",1.3228,0,0,0,0,0,0,67375.4,0,8400,0,0,3210,0,0,0,0,0,0,0,0,1749,4263,17304,25171,18929,112,22,134
"16","AUDI",2014-01-16,2014,1,16,"Jeudi",0,"Jour Ordinaire",1.3228,0,0,0,0,0,0,67375.4,158000,3429,0,0,2500,0,0,0,0,0,0,0,0,1749,4323,18133,27210,20048,47,22,69
"17","AUDI",2014-01-17,2014,1,17,"Vendredi",0,"Jour Ordinaire",1.3228,0,0,0,0,0,0,67375.4,170000,261000,0,0,2550,0,0,0,0,0,0,0,0,1749,4794,19376,28940,20997,50,13,63
"18","AUDI",2014-01-18,2014,1,18,"Samedi",0,"Jour Ordinaire",1.3228,0,0,0,0,0,0,67375.4,67000,0,0,0,3130,0,0,0,0,0,0,0,0,1749,5354,21738,29192,22239,42,16,58
"19","AUDI",2014-01-19,2014,1,19,"Dimanche",1,"Jour Ordinaire",1.3238,0,0,0,0,0,0,67375.4,0,0,0,0,1970,0,0,0,0,0,0,0,0,277.857142857143,6040,25228,32172,24641,23,19,42
"20","AUDI",2014-01-20,2014,1,20,"Lundi",0,"Jour Ordinaire",1.3238,0,0,0,0,0,0,67375.4,0,0,0,0,3860,0,0,0,0,0,0,0,0,277.857142857143,4405,19184,26633,20104,98,24,122
"21","AUDI",2014-01-21,2014,1,21,"Mardi",0,"Jour Ordinaire",1.3238,0,0,0,0,0,0,67375.4,0,0,0,0,3510,0,0,0,0,0,0,0,0,277.857142857143,4250,17817,24065,18059,89,17,106
"22","AUDI",2014-01-22,2014,1,22,"Mercredi",0,"Jour Ordinaire",1.3238,0,0,0,0,0,0,67375.4,0,0,0,0,5660,0,0,0,0,0,0,0,0,277.857142857143,4484,18563,25108,18989,61,18,79
"23","AUDI",2014-01-23,2014,1,23,"Jeudi",0,"Jour Ordinaire",1.3238,0,0,0,0,0,0,67375.4,170000,5720,0,0,5690,0,0,0,0,0,0,0,0,277.857142857143,4222,17464,24746,18716,62,19,81
"24","AUDI",2014-01-24,2014,1,24,"Vendredi",0,"Jour Ordinaire",1.3238,0,0,0,0,0,0,67375.4,170000,13720,0,0,5650,0,0,0,0,0,0,0,0,277.857142857143,4364,18191,26235,20114,32,28,60
"25","AUDI",2014-01-25,2014,1,25,"Samedi",0,"Jour Ordinaire",1.3238,0,0,0,0,0,0,67375.4,217000,0,0,0,5670,0,0,0,0,0,0,0,0,277.857142857143,5346,21321,28206,21890,29,8,37
"26","AUDI",2014-01-26,2014,1,26,"Dimanche",1,"Jour Ordinaire",1.326,0,0,0,0,0,0,67375.4,0,0,0,0,5150,0,0,0,0,0,0,0,0,1683.28571428571,5598,22376,30396,23485,24,13,37
"27","AUDI",2014-01-27,2014,1,27,"Lundi",0,"Jour Ordinaire",1.326,0,0,0,0,0,0,67375.4,0,0,0,0,18635,0,0,0,0,0,0,0,0,1683.28571428571,4330,18478,26632,20532,56,18,74
"28","AUDI",2014-01-28,2014,1,28,"Mardi",0,"Jour Ordinaire",1.326,0,0,0,0,0,0,67375.4,773,0,0,0,18245,0,0,0,0,0,0,0,0,1683.28571428571,4097,17223,24009,18218,59,23,82
"29","AUDI",2014-01-29,2014,1,29,"Mercredi",0,"Jour Ordinaire",1.326,0,0,0,0,0,0,67375.4,0,0,0,0,16070,0,0,0,0,0,0,0,0,1683.28571428571,3945,17246,28088,22349,63,21,84
"30","AUDI",2014-01-30,2014,1,30,"Jeudi",0,"Jour Ordinaire",1.326,0,0,0,0,0,0,67375.4,0,0,0,0,16460,0,0,0,0,0,0,0,0,1683.28571428571,3930,16697,24022,18310,87,14,101
"31","AUDI",2014-01-31,2014,1,31,"Vendredi",0,"Jour Ordinaire",1.326,0,0,0,0,0,0,67375.4,46233,12800,0,0,19320,0,0,0,0,0,0,0,0,1683.28571428571,3782,16646,23369,18590,92,17,109
"32","AUDI",2014-02-01,2014,2,1,"Samedi",0,"Jour Ordinaire",1.326,216,906694,4,6214,2.72569402360916,4306.9896336903,67824.3333333333,198600,0,0,0,0,0,0,0,0,0,0,0,0,1683.28571428571,4794,20159,26742,20402,26,5,31
